Temperature,Humidity,Holidays    0 for close   1 for open,year,month,day,hour,minute,second,weekday,Load
21,0.87,1,2009,1,19,3,0,0,0,23178
21,0.873333333,1,2009,1,19,4,0,0,0,23331
21,0.876666667,1,2009,1,19,5,0,0,0,24505
21,0.88,1,2009,1,19,6,0,0,0,27526
20,0.793333333,1,2009,1,19,7,0,0,0,34464
21,0.706666667,1,2009,1,19,8,0,0,0,44784
23,0.62,1,2009,1,19,9,0,0,0,54595
27,0.573333333,1,2009,1,19,10,0,0,0,60516
29,0.526666667,1,2009,1,19,11,0,0,0,61960
30,0.48,1,2009,1,19,12,0,0,0,61177
30,0.51,1,2009,1,19,13,0,0,0,60873
31,0.54,1,2009,1,19,14,0,0,0,62235
31,0.57,1,2009,1,19,15,0,0,0,61838
31,0.643333333,1,2009,1,19,16,0,0,0,58954
30,0.716666667,1,2009,1,19,17,0,0,0,50188
29,0.79,1,2009,1,19,18,0,0,0,46705
27,0.803333333,1,2009,1,19,19,0,0,0,49410
26,0.816666667,1,2009,1,19,20,0,0,0,47623
25,0.83,1,2009,1,19,21,0,0,0,39312
24,0.843333333,1,2009,1,19,22,0,0,0,32873
23,0.856666667,1,2009,1,19,23,0,0,0,29336
23,0.87,1,2009,1,20,0,0,0,1,26981
22,0.88,1,2009,1,20,1,0,0,1,25645
22,0.89,1,2009,1,20,2,0,0,1,24650
22,0.9,1,2009,1,20,3,0,0,1,24110
21,0.9,1,2009,1,20,4,0,0,1,24006
21,0.9,1,2009,1,20,5,0,0,1,25074
21,0.9,1,2009,1,20,6,0,0,1,27665
21,0.81,1,2009,1,20,7,0,0,1,34725
22,0.72,1,2009,1,20,8,0,0,1,45435
25,0.63,1,2009,1,20,9,0,0,1,55533
27,0.623333333,1,2009,1,20,10,0,0,1,61309
28,0.616666667,1,2009,1,20,11,0,0,1,62666
30,0.61,1,2009,1,20,12,0,0,1,61768
31,0.66,1,2009,1,20,13,0,0,1,61523
31,0.71,1,2009,1,20,14,0,0,1,62340
31,0.76,1,2009,1,20,15,0,0,1,61469
31,0.81,1,2009,1,20,16,0,0,1,58581
30,0.86,1,2009,1,20,17,0,0,1,50504
