Predicted ANN load,Target Load,LSTM Load,Tmestamp,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load,EMD-LSTM
49530.83,49823.26132,49639.133,14/08/2010 8:00,[52431.12],[52471.285],[49637.95],[49401.09],49869.45
50475.5,51917.15689,51022.23,14/08/2010 9:00,[52133.39],[52578.72],[49297.17],[50551.207],49869.45
52831.82,52391.1579,53555.504,14/08/2010 10:00,[51823.523],[52065.61],[49291.48],[52728.742],50414.945
53043.82,52517.6755,53186.42,14/08/2010 11:00,[51507.402],[50663.5],[49063.695],[52851.65],50414.945
52871.35,52417.75202,52884.72,14/08/2010 12:00,[51471.227],[50037.867],[48989.062],[52778.066],50414.945
52418.06,51964.47877,52681.824,14/08/2010 13:00,[51958.99],[49606.973],[49012.35],[52546.527],50414.945
51903.023,51897.99348,52233.88,14/08/2010 14:00,[52490.99],[49303.06],[49289.72],[52062.746],50414.945
51786.203,51837.17899,52148.63,14/08/2010 15:00,[52096.414],[49311.14],[49988.324],[51920.67],50414.945
51721.21,51792.3992,52066.418,14/08/2010 16:00,[50730.85],[49078.555],[52083.59],[51779.074],50414.945
51609.594,51581.01508,51985.688,14/08/2010 17:00,[50026.99],[48934.93],[54282.78],[51643.418],50414.945
51366.742,52226.11795,51714.99,14/08/2010 18:00,[49631.03],[48855.016],[55931.043],[51351.812],50414.945
51714.246,52435.54661,52096.38,14/08/2010 19:00,[49385.953],[49180.574],[56301.67],[51751.105],50414.945
51660.395,51918.13461,52065.746,14/08/2010 20:00,[49242.094],[50481.832],[56568.67],[51829.984],50414.945
51105.77,50312.12375,51483.965,14/08/2010 21:00,[49392.523],[52372.42],[56703.055],[51342.625],50414.945
49829.9,49749.14978,49814.12,14/08/2010 22:00,[50099.426],[54619.336],[56609.61],[49843.953],50414.945
49352.887,49145.89354,49137.07,14/08/2010 23:00,[51239.8],[56217.355],[56365.375],[49219.555],50414.945
48904.035,48746.5907,48478.297,15/08/2010 0:00,[52813.14],[56460.355],[55855.035],[48531.613],50414.945
47562.57,48539.11749,48367.133,15/08/2010 1:00,[54186.875],[56549.26],[55072.047],[47893.215],49869.45
47695.875,48368.40672,48178.46,15/08/2010 2:00,[55266.793],[56483.484],[53998.11],[47903.266],49869.45
47707.45,48285.49566,48063.22,15/08/2010 3:00,[56024.914],[56392.297],[53692.586],[47975.68],49869.45
47964.56,48378.96615,48105.22,15/08/2010 4:00,[56837.17],[56317.688],[53683.137],[48130.64],49869.45
48264.68,48763.79866,48443.5,15/08/2010 5:00,[57239.945],[55845.535],[53171.094],[48471.74],49869.45
48919.457,49662.32781,49296.594,15/08/2010 6:00,[57392.664],[54862.906],[51384.793],[49152.676],49869.45
50282.055,51574.36655,50955.254,15/08/2010 7:00,[57444.125],[53984.23],[50486.72],[50804.91],49869.45
53037.438,53519.0613,53753.48,15/08/2010 8:00,[57265.6],[54310.047],[49950.68],[53448.76],49869.45
55145.094,55752.57598,55363.465,15/08/2010 9:00,[56981.11],[54200.574],[49604.43],[55077.938],49869.45
56595.86,56076.594,56599.26,15/08/2010 10:00,[56459.703],[53246.85],[49344.14],[56474.574],49869.45
56570.348,57307.5496,56272.58,15/08/2010 11:00,[55651.082],[51537.242],[49142.816],[56380.12],49869.45
56951.855,57012.47224,57008.96,15/08/2010 12:00,[54714.953],[50698.406],[49043.984],[57083.957],50414.945
56606.15,57174.77457,56798.746,15/08/2010 13:00,[54217.96],[50097.285],[49204.64],[56611.3],50414.945
56490.625,57043.1728,56893.996,15/08/2010 14:00,[53761.586],[49689.727],[49710.83],[56561.758],50414.945
56227.234,56632.52836,56800.773,15/08/2010 15:00,[52760.414],[49349.88],[50654.008],[56285.21],50414.945
55785.758,55462.1917,56476.957,15/08/2010 16:00,[51150.066],[49123.023],[52279.93],[55798.113],50414.945
54772.758,53924.62158,55276.668,15/08/2010 17:00,[50458.277],[48930.242],[54879.535],[54728.523],50414.945
53338.37,53924.81712,53616.652,15/08/2010 18:00,[49798.32],[48839.04],[56518.86],[53405.28],50414.945
53028.375,53948.86915,53410.758,15/08/2010 19:00,[49345.105],[48938.05],[56821.836],[53215.426],50414.945
52731.457,53250.18697,53180.324,15/08/2010 20:00,[49060.445],[49529.73],[57002.86],[53075.758],50414.945
51919.92,51338.9304,52392.938,15/08/2010 21:00,[48894.2],[50999.5],[57004.773],[52407.695],50414.945
50357.457,50560.66141,50817.68,15/08/2010 22:00,[48889.35],[53401.43],[56871.273],[50798.566],50414.945
49697.793,49991.62554,50017.9,15/08/2010 23:00,[49186.973],[55976.383],[56700.355],[50022.63],49802.6
49229.49,49668.97634,49395.32,16/08/2010 0:00,[49938.51],[56635.766],[56188.24],[49389.9],49802.6
48662.17,49449.96597,49453.215,16/08/2010 1:00,[51530.9],[56902.04],[55066.184],[48912.973],49782.914
48603.22,49197.71295,49186.1,16/08/2010 2:00,[53784.562],[57017.96],[53824.895],[48846.03],49782.914
48689.04,49075.88844,48920.203,16/08/2010 3:00,[55506.824],[56990.594],[53619.336],[48743.926],49782.914
48749.11,49214.52982,48885.715,16/08/2010 4:00,[56425.227],[56796.562],[53888.65],[48821.664],49782.914
49151.715,49546.76073,49304.668,16/08/2010 5:00,[56755.76],[56145.95],[53341.188],[49309.6],49782.914
49804.473,50515.09943,50205.83,16/08/2010 6:00,[57017.957],[55028.902],[51690.504],[50164.297],49782.914
51339.582,52709.50512,52088.324,16/08/2010 7:00,[56894.332],[54448.797],[50897.312],[51844.39],49782.914
54301.227,54785.80164,54812.85,16/08/2010 8:00,[56776.188],[54394.797],[50293.824],[54482.688],49782.914
56130.008,56351.92132,56385.164,16/08/2010 9:00,[56546.355],[54068.582],[49846.242],[56151.25],49822.734
56911.24,56551.3772,57005.43,16/08/2010 10:00,[56112.09],[53096.406],[49428.56],[57039.055],49822.734
56781.414,56490.56271,56722.926,16/08/2010 11:00,[55111.15],[51410.594],[49147.133],[56872.727],49822.734
56630.094,56421.53533,56519.516,16/08/2010 12:00,[54011.188],[50553.004],[48986.215],[56498.03],49822.734
56380.21,56568.7807,56420.86,16/08/2010 13:00,[53705.395],[49915.355],[48994.844],[56191.895],49822.734
56231.83,56690.60522,56486.137,16/08/2010 14:00,[53643.668],[49479.18],[49455.375],[56067.496],49822.734
56059.71,54843.29186,56547.19,16/08/2010 15:00,[53039.707],[49171.535],[50426.855],[55969.46],49822.734
54572.44,53793.80199,54707.945,16/08/2010 16:00,[51451.75],[48969.953],[51866.953],[54384.484],49822.734
53495.29,52258.9695,53673.58,16/08/2010 17:00,[50557.152],[48839.17],[53754.844],[53428.227],49822.734
52010.492,52199.32828,52307.445,16/08/2010 18:00,[50011.83],[48782.695],[55995.33],[52079.168],40862.49
51767.816,52448.64812,52036.21,16/08/2010 19:00,[49729.906],[48990.625],[56457.914],[51891.15],40862.676
51718.484,51982.66445,51926.168,16/08/2010 20:00,[49524.97],[49312.91],[56609.848],[51947.62],40862.793
