Date time ,Temperature,Humidity,Holidays    0 for close   1 for open,year,month,day,hour,minute,second,weekday,Load
4/7/2010 13:00,33,0.576666667,1,2010,7,4,13,0,0,6,69268
4/7/2010 14:00,33,0.543333333,1,2010,7,4,14,0,0,6,70459
4/7/2010 15:00,34,0.51,1,2010,7,4,15,0,0,6,69152
4/7/2010 16:00,34,0.653333333,1,2010,7,4,16,0,0,6,63268
4/7/2010 17:00,33,0.796666667,1,2010,7,4,17,0,0,6,53985
4/7/2010 18:00,31,0.94,1,2010,7,4,18,0,0,6,53318
4/7/2010 19:00,28,0.943333333,1,2010,7,4,19,0,0,6,53284
4/7/2010 20:00,26,0.946666667,1,2010,7,4,20,0,0,6,50164
4/7/2010 21:00,26,0.95,1,2010,7,4,21,0,0,6,40708
4/7/2010 22:00,26,0.953333333,1,2010,7,4,22,0,0,6,37446
4/7/2010 23:00,26,0.956666667,1,2010,7,4,23,0,0,6,33901
4/8/2010 0:00,26,0.96,1,2010,8,4,0,0,0,2,31785
4/8/2010 1:00,25,0.96,1,2010,8,4,1,0,0,2,30646
4/8/2010 2:00,25,0.96,1,2010,8,4,2,0,0,2,29950
4/8/2010 3:00,25,0.96,1,2010,8,4,3,0,0,2,29067
4/8/2010 4:00,25,0.95,1,2010,8,4,4,0,0,2,29006
4/8/2010 5:00,25,0.94,1,2010,8,4,5,0,0,2,30811
4/8/2010 6:00,24,0.93,1,2010,8,4,6,0,0,2,35092
4/8/2010 7:00,24,0.85,1,2010,8,4,7,0,0,2,45099
4/8/2010 8:00,24,0.77,1,2010,8,4,8,0,0,2,55988
4/8/2010 9:00,25,0.69,1,2010,8,4,9,0,0,2,66752
4/8/2010 10:00,27,0.673333333,1,2010,8,4,10,0,0,2,68548
4/8/2010 11:00,27,0.656666667,1,2010,8,4,11,0,0,2,69148
4/8/2010 12:00,30,0.64,1,2010,8,4,12,0,0,2,68491
4/8/2010 13:00,30,0.68,1,2010,8,4,13,0,0,2,69518
4/8/2010 14:00,32,0.72,1,2010,8,4,14,0,0,2,69749
4/8/2010 15:00,32,0.76,1,2010,8,4,15,0,0,2,69163
4/8/2010 16:00,33,0.816666667,1,2010,8,4,16,0,0,2,63398
4/8/2010 17:00,33,0.873333333,1,2010,8,4,17,0,0,2,54291
4/8/2010 18:00,32,0.93,1,2010,8,4,18,0,0,2,53914
4/8/2010 19:00,31,0.93,1,2010,8,4,19,0,0,2,54390
4/8/2010 20:00,29,0.93,1,2010,8,4,20,0,0,2,50841
4/8/2010 21:00,28,0.93,1,2010,8,4,21,0,0,2,41137
4/8/2010 22:00,28,0.943333333,1,2010,8,4,22,0,0,2,36979
4/8/2010 23:00,28,0.956666667,1,2010,8,4,23,0,0,2,34579
4/9/2010 0:00,27,0.97,1,2010,9,4,0,0,0,5,32400
4/9/2010 1:00,27,0.97,1,2010,9,4,1,0,0,5,31174
4/9/2010 2:00,26,0.97,1,2010,9,4,2,0,0,5,30138
4/9/2010 3:00,26,0.97,1,2010,9,4,3,0,0,5,28892
4/9/2010 4:00,26,0.966666667,1,2010,9,4,4,0,0,5,29445
4/9/2010 5:00,25,0.963333333,1,2010,9,4,5,0,0,5,30865
4/9/2010 6:00,25,0.96,1,2010,9,4,6,0,0,5,35238
4/9/2010 7:00,25,0.903333333,1,2010,9,4,7,0,0,5,45751
4/9/2010 8:00,25,0.846666667,1,2010,9,4,8,0,0,5,57375
4/9/2010 9:00,25,0.79,1,2010,9,4,9,0,0,5,67369
4/9/2010 10:00,28,0.816666667,1,2010,9,4,10,0,0,5,69485
4/9/2010 11:00,30,0.843333333,1,2010,9,4,11,0,0,5,69739
4/9/2010 12:00,31,0.87,1,2010,9,4,12,0,0,5,68063
4/9/2010 13:00,32,0.88,1,2010,9,4,13,0,0,5,68761
4/9/2010 14:00,34,0.89,1,2010,9,4,14,0,0,5,70022
4/9/2010 15:00,35,0.9,1,2010,9,4,15,0,0,5,68433
4/9/2010 16:00,35,0.913333333,1,2010,9,4,16,0,0,5,61772
4/9/2010 17:00,33,0.926666667,1,2010,9,4,17,0,0,5,53759
4/9/2010 18:00,28,0.94,1,2010,9,4,18,0,0,5,53328
4/9/2010 19:00,26,0.943333333,1,2010,9,4,19,0,0,5,53232
4/9/2010 20:00,26,0.946666667,1,2010,9,4,20,0,0,5,49417
4/9/2010 21:00,26,0.95,1,2010,9,4,21,0,0,5,40172
4/9/2010 22:00,26,0.956666667,1,2010,9,4,22,0,0,5,36299
4/9/2010 23:00,26,0.963333333,1,2010,9,4,23,0,0,5,33568
4/10/2010 0:00,26,0.97,1,2010,10,4,0,0,0,0,31219
4/10/2010 1:00,26,0.973333333,1,2010,10,4,1,0,0,0,30309
4/10/2010 2:00,26,0.976666667,1,2010,10,4,2,0,0,0,29148
4/10/2010 3:00,26,0.98,1,2010,10,4,3,0,0,0,28516
4/10/2010 4:00,26,0.98,1,2010,10,4,4,0,0,0,28561
4/10/2010 5:00,25,0.98,1,2010,10,4,5,0,0,0,29484
4/10/2010 6:00,25,0.98,1,2010,10,4,6,0,0,0,30893
4/10/2010 7:00,25,0.973333333,1,2010,10,4,7,0,0,0,33787
4/10/2010 8:00,25,0.966666667,1,2010,10,4,8,0,0,0,41632
4/10/2010 9:00,25,0.96,1,2010,10,4,9,0,0,0,52340
4/10/2010 10:00,25,0.93,1,2010,10,4,10,0,0,0,53508
4/10/2010 11:00,27,0.9,1,2010,10,4,11,0,0,0,54686
4/10/2010 12:00,28,0.87,1,2010,10,4,12,0,0,0,51082
4/10/2010 13:00,31,0.846666667,1,2010,10,4,13,0,0,0,50017
4/10/2010 14:00,31,0.823333333,1,2010,10,4,14,0,0,0,49924
4/10/2010 15:00,32,0.8,1,2010,10,4,15,0,0,0,49741
4/10/2010 16:00,32,0.846666667,1,2010,10,4,16,0,0,0,49156
4/10/2010 17:00,31,0.893333333,1,2010,10,4,17,0,0,0,48369
4/10/2010 18:00,30,0.94,1,2010,10,4,18,0,0,0,51113
4/10/2010 19:00,29,0.953333333,1,2010,10,4,19,0,0,0,52005
4/10/2010 20:00,28,0.966666667,1,2010,10,4,20,0,0,0,48982
4/10/2010 21:00,28,0.98,1,2010,10,4,21,0,0,0,39191
4/10/2010 22:00,27,0.98,1,2010,10,4,22,0,0,0,34996
4/10/2010 23:00,27,0.98,1,2010,10,4,23,0,0,0,32222
4/11/2010 0:00,27,0.98,0,2010,11,4,0,0,0,3,30870
4/11/2010 1:00,27,0.97,0,2010,11,4,1,0,0,3,29868
4/11/2010 2:00,26,0.96,0,2010,11,4,2,0,0,3,28765
4/11/2010 3:00,26,0.95,0,2010,11,4,3,0,0,3,27649
4/11/2010 4:00,25,0.94,0,2010,11,4,4,0,0,3,27130
4/11/2010 5:00,25,0.93,0,2010,11,4,5,0,0,3,27788
4/11/2010 6:00,25,0.92,0,2010,11,4,6,0,0,3,27488
4/11/2010 7:00,24,0.91,0,2010,11,4,7,0,0,3,28429
4/11/2010 8:00,24,0.9,0,2010,11,4,8,0,0,3,33599
4/11/2010 9:00,25,0.89,0,2010,11,4,9,0,0,3,42877
4/11/2010 10:00,27,0.863333333,0,2010,11,4,10,0,0,3,45865
4/11/2010 11:00,30,0.836666667,0,2010,11,4,11,0,0,3,46234
4/11/2010 12:00,32,0.81,0,2010,11,4,12,0,0,3,47466
4/11/2010 13:00,33,0.866666667,0,2010,11,4,13,0,0,3,47266
4/11/2010 14:00,33,0.923333333,0,2010,11,4,14,0,0,3,47828
4/11/2010 15:00,34,0.98,0,2010,11,4,15,0,0,3,47838
4/11/2010 16:00,34,0.973333333,0,2010,11,4,16,0,0,3,46976
4/11/2010 17:00,34,0.966666667,0,2010,11,4,17,0,0,3,46804
4/11/2010 18:00,33,0.96,0,2010,11,4,18,0,0,3,49927
4/11/2010 19:00,27,0.956666667,0,2010,11,4,19,0,0,3,51151
4/11/2010 20:00,27,0.953333333,0,2010,11,4,20,0,0,3,48523
4/11/2010 21:00,27,0.95,0,2010,11,4,21,0,0,3,38853
4/11/2010 22:00,27,0.96,0,2010,11,4,22,0,0,3,35521
4/11/2010 23:00,26,0.97,0,2010,11,4,23,0,0,3,32766
4/12/2010 0:00,26,0.98,1,2010,12,4,0,0,0,5,30276
4/12/2010 1:00,26,0.976666667,1,2010,12,4,1,0,0,5,29066
4/12/2010 2:00,26,0.973333333,1,2010,12,4,2,0,0,5,27971
4/12/2010 3:00,26,0.97,1,2010,12,4,3,0,0,5,27765
4/12/2010 4:00,25,0.96,1,2010,12,4,4,0,0,5,27824
4/12/2010 5:00,25,0.95,1,2010,12,4,5,0,0,5,29579
4/12/2010 6:00,25,0.94,1,2010,12,4,6,0,0,5,33852
4/12/2010 7:00,25,0.863333333,1,2010,12,4,7,0,0,5,45533
4/12/2010 8:00,25,0.786666667,1,2010,12,4,8,0,0,5,57317
4/12/2010 9:00,26,0.71,1,2010,12,4,9,0,0,5,69011
4/12/2010 10:00,28,0.703333333,1,2010,12,4,10,0,0,5,70277
4/12/2010 11:00,30,0.696666667,1,2010,12,4,11,0,0,5,70758
4/12/2010 12:00,31,0.69,1,2010,12,4,12,0,0,5,69761
4/12/2010 13:00,32,0.746666667,1,2010,12,4,13,0,0,5,70171
4/12/2010 14:00,33,0.803333333,1,2010,12,4,14,0,0,5,71458
4/12/2010 15:00,34,0.86,1,2010,12,4,15,0,0,5,70517
4/12/2010 16:00,35,0.876666667,1,2010,12,4,16,0,0,5,63132
4/12/2010 17:00,35,0.893333333,1,2010,12,4,17,0,0,5,54151
4/12/2010 18:00,33,0.91,1,2010,12,4,18,0,0,5,53674
4/12/2010 19:00,30,0.91,1,2010,12,4,19,0,0,5,53515
4/12/2010 20:00,26,0.91,1,2010,12,4,20,0,0,5,49774
4/12/2010 21:00,26,0.91,1,2010,12,4,21,0,0,5,40232
4/12/2010 22:00,26,0.926666667,1,2010,12,4,22,0,0,5,36798
4/12/2010 23:00,27,0.943333333,1,2010,12,4,23,0,0,5,33601
13/04/2010 0:00,27,0.96,1,2010,4,13,0,0,0,1,30538
13/04/2010 1:00,26,0.96,1,2010,4,13,1,0,0,1,29681
13/04/2010 2:00,26,0.96,1,2010,4,13,2,0,0,1,29479
13/04/2010 3:00,26,0.96,1,2010,4,13,3,0,0,1,29101
13/04/2010 4:00,26,0.956666667,1,2010,4,13,4,0,0,1,29446
13/04/2010 5:00,26,0.953333333,1,2010,4,13,5,0,0,1,31140
13/04/2010 6:00,25,0.95,1,2010,4,13,6,0,0,1,35330
13/04/2010 7:00,25,0.91,1,2010,4,13,7,0,0,1,45537
13/04/2010 8:00,25,0.87,1,2010,4,13,8,0,0,1,56297
13/04/2010 9:00,26,0.83,1,2010,4,13,9,0,0,1,67003
13/04/2010 10:00,28,0.766666667,1,2010,4,13,10,0,0,1,69348
13/04/2010 11:00,30,0.703333333,1,2010,4,13,11,0,0,1,68758
13/04/2010 12:00,31,0.64,1,2010,4,13,12,0,0,1,68357
13/04/2010 13:00,32,0.696666667,1,2010,4,13,13,0,0,1,69636
13/04/2010 14:00,34,0.753333333,1,2010,4,13,14,0,0,1,70128
13/04/2010 15:00,34,0.81,1,2010,4,13,15,0,0,1,69480
13/04/2010 16:00,34,0.853333333,1,2010,4,13,16,0,0,1,62642
13/04/2010 17:00,34,0.896666667,1,2010,4,13,17,0,0,1,54171
13/04/2010 18:00,31,0.94,1,2010,4,13,18,0,0,1,53453
13/04/2010 19:00,26,0.953333333,1,2010,4,13,19,0,0,1,52849
13/04/2010 20:00,24,0.966666667,1,2010,4,13,20,0,0,1,48809
13/04/2010 21:00,24,0.98,1,2010,4,13,21,0,0,1,39042
13/04/2010 22:00,24,0.98,1,2010,4,13,22,0,0,1,35766
13/04/2010 23:00,24,0.98,1,2010,4,13,23,0,0,1,32260
14/04/2010 0:00,23,0.98,1,2010,4,14,0,0,0,2,30100
14/04/2010 1:00,24,0.98,1,2010,4,14,1,0,0,2,29264
14/04/2010 2:00,24,0.98,1,2010,4,14,2,0,0,2,28739
14/04/2010 3:00,24,0.98,1,2010,4,14,3,0,0,2,28427
14/04/2010 4:00,24,0.966666667,1,2010,4,14,4,0,0,2,28646
14/04/2010 5:00,24,0.953333333,1,2010,4,14,5,0,0,2,30517
14/04/2010 6:00,24,0.94,1,2010,4,14,6,0,0,2,34240
14/04/2010 7:00,24,0.846666667,1,2010,4,14,7,0,0,2,45974
14/04/2010 8:00,24,0.753333333,1,2010,4,14,8,0,0,2,55662
14/04/2010 9:00,24,0.66,1,2010,4,14,9,0,0,2,66420
14/04/2010 10:00,26,0.62,1,2010,4,14,10,0,0,2,68462
14/04/2010 11:00,29,0.58,1,2010,4,14,11,0,0,2,68673
14/04/2010 12:00,31,0.54,1,2010,4,14,12,0,0,2,67976
14/04/2010 13:00,32,0.55,1,2010,4,14,13,0,0,2,69038
14/04/2010 14:00,33,0.56,1,2010,4,14,14,0,0,2,69697
14/04/2010 15:00,33,0.57,1,2010,4,14,15,0,0,2,68846
14/04/2010 16:00,33,0.67,1,2010,4,14,16,0,0,2,62280
14/04/2010 17:00,34,0.77,1,2010,4,14,17,0,0,2,53425
14/04/2010 18:00,32,0.87,1,2010,4,14,18,0,0,2,53583
14/04/2010 19:00,30,0.893333333,1,2010,4,14,19,0,0,2,54391
14/04/2010 20:00,29,0.916666667,1,2010,4,14,20,0,0,2,50250
14/04/2010 21:00,28,0.94,1,2010,4,14,21,0,0,2,40868
14/04/2010 22:00,27,0.94,1,2010,4,14,22,0,0,2,37155
14/04/2010 23:00,27,0.94,1,2010,4,14,23,0,0,2,34429
15/04/2010 0:00,27,0.94,1,2010,4,15,0,0,0,3,32325
