Tmestamp,Predicted ANN load,Target Load,Proposed LSTM Load,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load
15/08/2010 22:00,50311.96,50560.66141,50619.355,49097.188,54745.996,57007.48,51608.63
15/08/2010 23:00,49625.027,49991.62554,50152.43,49727.15,56468.63,56832.527,50804.59
16/08/2010 0:00,49108.562,49668.97634,49697.727,50841.156,56847.832,56429.35,50179.562
16/08/2010 1:00,48737.242,49449.96597,49262.75,52381.42,57021.56,55240.715,51597.207
16/08/2010 2:00,48530.21,49197.71295,49103.508,54512.42,57059.08,53868.047,51219.594
16/08/2010 3:00,48353.715,49075.88844,48878.64,56113.406,56975.086,53659.543,50914.812
16/08/2010 4:00,48385.75,49214.52982,48790.234,56851.445,56924.453,53763.812,50769.746
16/08/2010 5:00,48763.61,49546.76073,49119.28,57079.023,56673.43,52927.195,50913.33
16/08/2010 6:00,49470.008,50515.09943,50027.902,57108.203,55501.18,51315.305,51368.168
16/08/2010 7:00,51081.84,52709.50512,52036.38,56901.08,54059.516,50539.85,52608.375
16/08/2010 8:00,53998.707,54785.80164,55027.758,56696.582,53724.477,50024.85,55028.83
16/08/2010 9:00,55925.375,56351.92132,56594.312,56453.695,53629.945,49677.53,57231.09
16/08/2010 10:00,56868.336,56551.3772,56723.684,56146.805,52798.543,49279.793,58469.258
16/08/2010 11:00,56621.332,56490.56271,56650.383,55280.13,51250.613,49031.64,58438.35
16/08/2010 12:00,56468.637,56421.53533,56226.293,54148,50485.598,48901.51,57746.8
16/08/2010 13:00,56107.6,56568.7807,55868.53,53529.58,49856.844,49019.44,57625.96
16/08/2010 14:00,55922.086,56690.60522,55846.18,53385.324,49468.97,49554.023,57376.89
16/08/2010 15:00,55722.46,54843.29186,55877.086,52902.035,49184.723,50653.36,57248.105
16/08/2010 16:00,54191.98,53793.80199,54045.375,51635.76,49058.06,52230.324,55479.535
16/08/2010 17:00,53304.805,52258.9695,53788.516,50670.008,49019.28,54331.227,54355.94
16/08/2010 18:00,52131.73,52199.32828,52641.14,49978.082,49063.695,55985.223,52670.973
16/08/2010 19:00,51912.402,52448.64812,52772.94,49569.027,49270.812,56302.406,52554.914
16/08/2010 20:00,51825.754,51982.66445,52833.32,49105.73,49773.09,56507.45,52717.285
16/08/2010 21:00,51183.906,50655.10963,50952.598,49010.56,50838.297,56770.35,52099.92
16/08/2010 22:00,50035.19,50071.60344,50167.023,49260.637,52957.844,56793.85,50725.836
16/08/2010 23:00,49475.605,49554.38698,49762.242,49924.676,54699.395,56746.29,50083.562
17/08/2010 0:00,48899.375,49145.3069,49246.48,51048.527,55448.805,56478.902,49523.387
17/08/2010 1:00,48221.082,48983.9823,48868.754,52618.035,55778.52,55708.875,50390.582
17/08/2010 2:00,48075.66,48860.78897,48784.496,54205.54,56265.6,54417.266,50211.46
17/08/2010 3:00,48030.58,48722.73421,48685.65,56053.605,56421.258,53922.074,50111.445
17/08/2010 4:00,48067.023,48787.26406,48571.766,56645.35,56465.516,53585.605,50056.64
17/08/2010 5:00,48372.8,49155.67078,48758.516,56721.75,56367.11,52627.516,50118.63
17/08/2010 6:00,49124.082,49748.56314,49485.008,56428.445,55716.04,51169.64,50471.848
17/08/2010 7:00,50257.97,51958.41688,50804.094,56774.734,54459.543,50541.926,51274.824
17/08/2010 8:00,53419.656,53657.3116,54208.79,56939.863,54028.547,50064.176,53972.062
17/08/2010 9:00,54960.082,55150.10192,55969.906,56919.727,53973.08,49732.684,55556.625
17/08/2010 10:00,55854.91,55442.24611,55812.086,56556.25,53163.54,49406.03,56300.293
17/08/2010 11:00,55765.027,56672.61508,55574.098,55942.02,51463.96,49179.906,55925.973
17/08/2010 12:00,56386.637,56974.73206,56661.258,54764.203,50579.895,49049.523,56845.8
17/08/2010 13:00,56366.19,57203.12859,56841.484,53807.89,50013.05,49149.74,57041.055
17/08/2010 14:00,56284.215,57474.74056,56826.8,53349.957,49692.152,49715.703,56996.473
17/08/2010 15:00,56245.34,57151.11363,56898.914,52622.285,49318.87,51126.812,57214.887
17/08/2010 16:00,55694.54,55856.997,56550.39,51452.285,49184.715,53001.21,56987.844
17/08/2010 17:00,54418.402,54227.91183,54778.64,50612.098,49245.94,54794.1,55648.117
17/08/2010 18:00,53165.176,54057.39661,54003.91,49975.777,49652.04,56470.555,54118.77
17/08/2010 19:00,53063.945,54151.06266,54123.547,49535.74,50484.78,56910.51,54138.8
17/08/2010 20:00,52790.156,53518.86576,53949.65,49194.727,51981.215,57275.555,54163.652
17/08/2010 21:00,52026.688,51556.96305,52184.223,49198.01,54069,57352.97,53395.242
17/08/2010 22:00,50570.5,50852.8056,50839.773,49528.42,55813.938,57403.566,51355.336
17/08/2010 23:00,49814.91,50331.48271,50421.934,50510.715,56638.58,57347.695,50683.355
18/08/2010 0:00,49319.977,49845.16236,50088.363,52036.133,57045.445,57014,50156.14
18/08/2010 1:00,48870,49602.88214,49829.58,53652.816,57244.85,56083.086,51145.277
18/08/2010 2:00,48640.297,49380.5475,49558.64,55236.375,57397.234,54550.79,50781.543
18/08/2010 3:00,48501.113,49334.39889,49294.11,56081.293,57515.367,54134.523,50433.62
18/08/2010 4:00,48603.797,49347.5004,49222.11,56594.9,57530.32,54136.73,50441.543
18/08/2010 5:00,48864.062,49756.38494,49418.85,56962.37,57229.1,53329.938,50439.484
18/08/2010 6:00,49670.977,50645.52793,50476.195,57191.83,56598.965,51693.637,51004.777
18/08/2010 7:00,51162.656,52593.93804,52188.92,57198.797,54955.523,50813.58,51943.418
18/08/2010 8:00,53711.96,54761.35852,54822.246,57057.53,53947.426,50276.633,54011.42
18/08/2010 9:00,55782.97,56906.29132,56629.62,56934.84,53695.598,49942.285,56309.07
18/08/2010 10:00,57032.984,57453.6217,57355.234,56577.23,52907.613,49583.3,57445.64
18/08/2010 11:00,57162.742,57550.41646,57504.418,55851.03,51545.66,49350.227,57577.113
18/08/2010 12:00,56985.344,57242.82422,57391.97,54642.5,50730.223,49305.1,57461.902
18/08/2010 13:00,56508.312,57410.01517,56967.273,53852.188,50158.25,49651.97,57167.14
18/08/2010 14:00,56392.46,57226.2029,56946.57,53682.266,49783.145,50593.637,57272.453
18/08/2010 15:00,55915.844,56792.48415,56702.47,53177.844,49460.535,52150.11,57066.867
18/08/2010 16:00,55341.71,55456.91198,56094.473,51911.902,49347.895,54024.613,56641.914
18/08/2010 17:00,54246.453,54024.54506,54682.49,50940.99,49271.16,56021.395,55382.04
18/08/2010 18:00,53081.953,54025.13169,54124.555,50285.008,49345.555,56745.523,53975.234
18/08/2010 19:00,52787.19,53983.67616,54251.55,49816.285,49669.215,56962.242,53930.637
18/08/2010 20:00,52456.4,53331.72922,53693.29,49441.5,50453.42,57145.688,53817.445
18/08/2010 21:00,51739.832,51421.64593,51930.543,49409.04,52368.777,57315.29,53077.203
18/08/2010 22:00,50179.117,50689.33,50699.543,49720.383,54365.695,57430.184,51158.16
18/08/2010 23:00,49520.703,50222.17307,50265.957,50428.99,55726.06,57396.414,50460.13
19/08/2010 0:00,49055.406,49799.40483,49944.305,51649.902,56549.53,56949.777,49998.473
19/08/2010 1:00,48767.22,49427.4783,49618.707,53184.715,57060.26,56119.297,51133.82
19/08/2010 2:00,48427.71,49194.58423,49185.465,54727.758,57104.664,54611.766,50584.895
19/08/2010 3:00,48289.47,49069.23991,48988.875,56409.066,56823.125,53809.832,50284.57
19/08/2010 4:00,48335.953,49141.20046,48915.273,57103.67,56616.53,53488.094,50187.625
19/08/2010 5:00,48668.332,49577.85238,49155.6,57340.26,56420.42,52615.188,50259.703
19/08/2010 6:00,49533.984,50362.7699,50178.594,57273.766,55705.07,51347.02,50775.934
19/08/2010 7:00,50937.26,52456.27438,51778.53,57118.3,54273.656,50682.543,51582.707
19/08/2010 8:00,53712.445,54491.50645,54575.406,56848.676,53837.97,50199.883,53681.633
19/08/2010 9:00,55624.43,56470.61712,56439.42,56612.72,54008.348,49828.168,55883.395
19/08/2010 10:00,56772.83,57020.88067,56850.79,56300.438,53366.156,49521.074,57249.07
19/08/2010 11:00,56898.15,57074.85109,56942.266,55604.74,51779.5,49323.906,57249.234
19/08/2010 12:00,56681.7,56627.0531,56833.297,54498.562,50957.7,49204.938,57266.977
19/08/2010 13:00,56038.18,56718.95924,56098.69,53786.945,50399.566,49297.156,56844.047
19/08/2010 14:00,55849.11,56867.57342,56068.477,53596.8,49942.33,49716.137,56778.75
19/08/2010 15:00,55713.723,56582.2733,56226.22,53082.125,49637.805,50315.71,56818.87
19/08/2010 16:00,55227.527,55291.67648,55814.207,51812.86,49451.58,51131.523,56466.574
19/08/2010 17:00,54085.98,53935.18101,54609.7,50814.45,49386.695,52033.5,55141.14
19/08/2010 18:00,53018.387,53818.24511,54068.55,50185.645,49413.75,54212.992,53680.523
19/08/2010 19:00,52706.344,53848.75013,54165.387,49739.15,49672.324,54523.203,53508.03
19/08/2010 20:00,52409.07,53341.89756,53518.957,49330.05,50212.746,54917.54,53483.6
19/08/2010 21:00,51768.21,51426.92564,51841.645,49274.625,51352.055,54829.918,52908.87
19/08/2010 22:00,50184.58,50506.29991,50654.152,49468.78,52619.37,54372.945,51027.324
19/08/2010 23:00,49431.28,49580.39447,50096.15,50169.125,54211.89,54062.86,50200.473
20/08/2010 0:00,48781.1,49173.85647,49248.348,51436.29,55363.258,53859.246,49349.055
20/08/2010 1:00,48192.414,48867.43749,48617.78,52785.473,55441.23,53514.805,50202.46
20/08/2010 2:00,47912.324,48679.51878,48445.594,53794.6,55024.094,53055.37,49933.188
20/08/2010 3:00,47824.34,48879.95237,48385.125,54521.547,54078.227,53394.94,49780.117
20/08/2010 4:00,48144.4,49185.19808,48586.918,55209.902,53818.86,53722.875,49968.75
20/08/2010 5:00,48699.324,49416.33223,49020.266,55520.39,53863.438,53101.11,50262.07
20/08/2010 6:00,49293.426,49731.74627,49741.703,55014.46,53508.656,51518.34,50468.082
20/08/2010 7:00,50207.875,50378.4135,50691.938,54628.14,53043.89,50703.008,50773.99
20/08/2010 8:00,51426.367,52008.67194,51968.918,54099.125,53469.18,50173.54,51477.703
20/08/2010 9:00,53244.65,54173.15924,54172.977,53976.965,53763.383,49743.137,52871.844
20/08/2010 10:00,54863.617,54601.40273,54925.188,53877.652,53151.156,49366.953,54590.44
20/08/2010 11:00,54786.652,54697.21976,54610.766,53463.484,51522.75,49147.03,54490.664
20/08/2010 12:00,54419.605,53777.37621,54444.02,52946.184,50722.938,49034.89,54613.57
20/08/2010 13:00,53089.047,53315.89008,53672.53,53030.414,50227.953,49026.676,54034.742
20/08/2010 14:00,52460.957,53238.06318,53217.777,53170.043,49818.664,49229.926,53624.523
20/08/2010 15:00,52205.523,53296.72667,53152.15,52892.32,49319.6,49791.19,53531.14
20/08/2010 16:00,52077.094,53131.10008,53251.316,51597.65,49180.266,50025.586,53531.223
