Tmestamp,Target Load,Predicted ANN load,Proposed LSTM Load,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load,EMD_LSTM
14/08/2010 21:00,50312.12375,50878.824,50788.977,48762.652,50526.543,56839.992,51342.625,50414.945
14/08/2010 22:00,49749.14978,49567.332,49751.14,48763.797,53049.344,56883.305,49843.953,50414.945
14/08/2010 23:00,49145.89354,49069.484,49292.184,48991.65,55376.03,56902.066,49219.555,50414.945
15/08/2010 0:00,48746.5907,48616.586,48796.38,49569.277,56525.82,56536.473,48531.613,50414.945
15/08/2010 1:00,48539.11749,47966.188,48336.42,50624.617,56812.57,55635.492,47893.215,49869.45
15/08/2010 2:00,48368.40672,47763.89,48289.62,52892.88,56918.504,54219.164,47903.266,49869.45
15/08/2010 3:00,48285.49566,47680.32,48192.844,55399.906,56819.555,53851.707,47975.68,49869.45
15/08/2010 4:00,48378.96615,47750.098,48131.793,56563.08,56722.508,53844.79,48130.64,49869.45
15/08/2010 5:00,48763.79866,48031.2,48303.777,56925.03,56304.727,53022.1,48471.74,49869.45
15/08/2010 6:00,49662.32781,48717.39,48919.85,56961.75,55407.758,51287.8,49152.676,49869.45
15/08/2010 7:00,51574.36655,50191.99,50545.637,56981.5,54189.64,50346.504,50804.91,49869.45
15/08/2010 8:00,53519.0613,52938.44,53678.79,56746.1,53735.805,49814.234,53448.76,49869.45
15/08/2010 9:00,55752.57598,54877.324,55811.395,56456.07,53745.824,49481.367,55077.938,49869.45
15/08/2010 10:00,56076.594,56415.867,56279.703,56003.156,52898.742,49114.367,56474.574,49869.45
15/08/2010 11:00,57307.5496,56357.24,56132.164,55371.523,51179.594,48884.17,56380.12,49869.45
15/08/2010 12:00,57012.47224,56919.84,57314.414,54574.09,50393.395,48788.188,57083.957,50414.945
15/08/2010 13:00,57174.77457,56460.008,56910.375,53991.895,49797.676,48978.832,56611.3,50414.945
15/08/2010 14:00,57043.1728,56320.543,56771.06,53494.945,49393.508,49640.496,56561.758,50414.945
15/08/2010 15:00,56632.52836,55957.94,56385.094,52734.664,48983.71,50933.055,56285.21,50414.945
15/08/2010 16:00,55462.1917,55374.28,55624.36,51398.773,48844.527,52661.016,55798.113,50414.945
15/08/2010 17:00,53924.62158,54389.945,54338.246,50624.203,48871.324,54784.656,54728.523,50414.945
15/08/2010 18:00,53924.81712,53224.742,53830.668,49894.094,49185.79,56656.54,53405.28,50414.945
15/08/2010 19:00,53948.86915,52876.652,54026.676,49389.695,49885.59,57100.527,53215.426,50414.945
15/08/2010 20:00,53250.18697,52590.64,53976.125,49046.086,51023.434,57297.05,53075.758,50414.945
15/08/2010 21:00,51338.9304,51855.92,52071.387,48937.746,52616.85,57199.324,52407.695,50414.945
15/08/2010 22:00,50560.66141,50311.96,50619.355,49097.188,54745.996,57007.48,50798.566,50414.945
15/08/2010 23:00,49991.62554,49625.027,50152.43,49727.15,56468.63,56832.527,50022.63,49802.6
16/08/2010 0:00,49668.97634,49108.562,49697.727,50841.156,56847.832,56429.35,49389.9,49802.6
16/08/2010 1:00,49449.96597,48737.242,49262.75,52381.42,57021.56,55240.715,48912.973,49782.914
16/08/2010 2:00,49197.71295,48530.21,49103.508,54512.42,57059.08,53868.047,48846.03,49782.914
16/08/2010 3:00,49075.88844,48353.715,48878.64,56113.406,56975.086,53659.543,48743.926,49782.914
16/08/2010 4:00,49214.52982,48385.75,48790.234,56851.445,56924.453,53763.812,48821.664,49782.914
16/08/2010 5:00,49546.76073,48763.61,49119.28,57079.023,56673.43,52927.195,49309.6,49782.914
16/08/2010 6:00,50515.09943,49470.008,50027.902,57108.203,55501.18,51315.305,50164.297,49782.914
16/08/2010 7:00,52709.50512,51081.84,52036.38,56901.08,54059.516,50539.85,51844.39,49782.914
16/08/2010 8:00,54785.80164,53998.707,55027.758,56696.582,53724.477,50024.85,54482.688,49782.914
16/08/2010 9:00,56351.92132,55925.375,56594.312,56453.695,53629.945,49677.53,56151.25,49822.734
16/08/2010 10:00,56551.3772,56868.336,56723.684,56146.805,52798.543,49279.793,57039.055,49822.734
16/08/2010 11:00,56490.56271,56621.332,56650.383,55280.13,51250.613,49031.64,56872.727,49822.734
16/08/2010 12:00,56421.53533,56468.637,56226.293,54148,50485.598,48901.51,56498.03,49822.734
16/08/2010 13:00,56568.7807,56107.6,55868.53,53529.58,49856.844,49019.44,56191.895,49822.734
16/08/2010 14:00,56690.60522,55922.086,55846.18,53385.324,49468.97,49554.023,56067.496,49822.734
16/08/2010 15:00,54843.29186,55722.46,55877.086,52902.035,49184.723,50653.36,55969.46,49822.734
16/08/2010 16:00,53793.80199,54191.98,54045.375,51635.76,49058.06,52230.324,54384.484,49822.734
16/08/2010 17:00,52258.9695,53304.805,53788.516,50670.008,49019.28,54331.227,53428.227,49822.734
16/08/2010 18:00,52199.32828,52131.73,52641.14,49978.082,49063.695,55985.223,52079.168,40862.49
16/08/2010 19:00,52448.64812,51912.402,52772.94,49569.027,49270.812,56302.406,51891.15,40862.676
16/08/2010 20:00,51982.66445,51825.754,52833.32,49105.73,49773.09,56507.45,51947.62,40862.793
16/08/2010 21:00,50655.10963,51183.906,50952.598,49010.56,50838.297,56770.35,51433,40862.805
16/08/2010 22:00,50071.60344,50035.19,50167.023,49260.637,52957.844,56793.85,50183.52,40862.62
16/08/2010 23:00,49554.38698,49475.605,49762.242,49924.676,54699.395,56746.29,49527.61,40862.113
17/08/2010 0:00,49145.3069,48899.375,49246.48,51048.527,55448.805,56478.902,48886.48,40862.758
17/08/2010 1:00,48983.9823,48221.082,48868.754,52618.035,55778.52,55708.875,48289.152,49782.914
17/08/2010 2:00,48860.78897,48075.66,48784.496,54205.54,56265.6,54417.266,48278.418,49782.914
17/08/2010 3:00,48722.73421,48030.58,48685.65,56053.605,56421.258,53922.074,48321.58,49782.914
17/08/2010 4:00,48787.26406,48067.023,48571.766,56645.35,56465.516,53585.605,48363.625,49782.914
17/08/2010 5:00,49155.67078,48372.8,48758.516,56721.75,56367.11,52627.516,48709.07,49782.914
17/08/2010 6:00,49748.56314,49124.082,49485.008,56428.445,55716.04,51169.64,49498.77,49782.914
17/08/2010 7:00,51958.41688,50257.97,50804.094,56774.734,54459.543,50541.926,50757.164,49782.914
17/08/2010 8:00,53657.3116,53419.656,54208.79,56939.863,54028.547,50064.176,53727.11,49782.914
17/08/2010 9:00,55150.10192,54960.082,55969.906,56919.727,53973.08,49732.684,55127.477,49782.914
17/08/2010 10:00,55442.24611,55854.91,55812.086,56556.25,53163.54,49406.03,55906.203,49822.734
17/08/2010 11:00,56672.61508,55765.027,55574.098,55942.02,51463.96,49179.906,55825.336,49822.734
17/08/2010 12:00,56974.73206,56386.637,56661.258,54764.203,50579.895,49049.523,56587.586,49822.734
17/08/2010 13:00,57203.12859,56366.19,56841.484,53807.89,50013.05,49149.74,56613.527,49822.734
17/08/2010 14:00,57474.74056,56284.215,56826.8,53349.957,49692.152,49715.703,56570.08,49822.734
17/08/2010 15:00,57151.11363,56245.34,56898.914,52622.285,49318.87,51126.812,56579.426,49822.734
17/08/2010 16:00,55856.997,55694.54,56550.39,51452.285,49184.715,53001.21,56132.14,49822.734
17/08/2010 17:00,54227.91183,54418.402,54778.64,50612.098,49245.94,54794.1,54999.33,49822.734
17/08/2010 18:00,54057.39661,53165.176,54003.91,49975.777,49652.04,56470.555,53610.48,40862.266
17/08/2010 19:00,54151.06266,53063.945,54123.547,49535.74,50484.78,56910.51,53348.8,40862.61
