Tmestamp,Target Load,Target Load,Target Load,Target Load,Target Load,Target Load
15/08/2010 17:00,53924.62158,53924.62158,53924.62158,53924.62158,53924.62158,53924.62158
15/08/2010 18:00,53924.81712,53924.81712,53924.81712,53924.81712,53924.81712,53924.81712
15/08/2010 19:00,53948.86915,53948.86915,53948.86915,53948.86915,53948.86915,53948.86915
15/08/2010 20:00,53250.18697,53250.18697,53250.18697,53250.18697,53250.18697,53250.18697
15/08/2010 21:00,51338.9304,51338.9304,51338.9304,51338.9304,51338.9304,51338.9304
15/08/2010 22:00,50560.66141,50560.66141,50560.66141,50560.66141,50560.66141,50560.66141
15/08/2010 23:00,49991.62554,49991.62554,49991.62554,49991.62554,49991.62554,49991.62554
16/08/2010 0:00,49668.97634,49668.97634,49668.97634,49668.97634,49668.97634,49668.97634
16/08/2010 1:00,49449.96597,49449.96597,49449.96597,49449.96597,49449.96597,49449.96597
16/08/2010 2:00,49197.71295,49197.71295,49197.71295,49197.71295,49197.71295,49197.71295
16/08/2010 3:00,49075.88844,49075.88844,49075.88844,49075.88844,49075.88844,49075.88844
16/08/2010 4:00,49214.52982,49214.52982,49214.52982,49214.52982,49214.52982,49214.52982
16/08/2010 5:00,49546.76073,49546.76073,49546.76073,49546.76073,49546.76073,49546.76073
16/08/2010 6:00,50515.09943,50515.09943,50515.09943,50515.09943,50515.09943,50515.09943
16/08/2010 7:00,52709.50512,52709.50512,52709.50512,52709.50512,52709.50512,52709.50512
16/08/2010 8:00,54785.80164,54785.80164,54785.80164,54785.80164,54785.80164,54785.80164
16/08/2010 9:00,56351.92132,56351.92132,56351.92132,56351.92132,56351.92132,56351.92132
16/08/2010 10:00,56551.3772,56551.3772,56551.3772,56551.3772,56551.3772,56551.3772
16/08/2010 11:00,56490.56271,56490.56271,56490.56271,56490.56271,56490.56271,56490.56271
16/08/2010 12:00,56421.53533,56421.53533,56421.53533,56421.53533,56421.53533,56421.53533
16/08/2010 13:00,56568.7807,56568.7807,56568.7807,56568.7807,56568.7807,56568.7807
16/08/2010 14:00,56690.60522,56690.60522,56690.60522,56690.60522,56690.60522,56690.60522
16/08/2010 15:00,54843.29186,54843.29186,54843.29186,54843.29186,54843.29186,54843.29186
16/08/2010 16:00,53793.80199,53793.80199,53793.80199,53793.80199,53793.80199,53793.80199
16/08/2010 17:00,52258.9695,52258.9695,52258.9695,52258.9695,52258.9695,52258.9695
16/08/2010 18:00,52199.32828,52199.32828,52199.32828,52199.32828,52199.32828,52199.32828
16/08/2010 19:00,52448.64812,52448.64812,52448.64812,52448.64812,52448.64812,52448.64812
16/08/2010 20:00,51982.66445,51982.66445,51982.66445,51982.66445,51982.66445,51982.66445
16/08/2010 21:00,50655.10963,50655.10963,50655.10963,50655.10963,50655.10963,50655.10963
16/08/2010 22:00,50071.60344,50071.60344,50071.60344,50071.60344,50071.60344,50071.60344
16/08/2010 23:00,49554.38698,49554.38698,49554.38698,49554.38698,49554.38698,49554.38698
17/08/2010 0:00,49145.3069,49145.3069,49145.3069,49145.3069,49145.3069,49145.3069
17/08/2010 1:00,48983.9823,48983.9823,48983.9823,48983.9823,48983.9823,48983.9823
17/08/2010 2:00,48860.78897,48860.78897,48860.78897,48860.78897,48860.78897,48860.78897
17/08/2010 3:00,48722.73421,48722.73421,48722.73421,48722.73421,48722.73421,48722.73421
17/08/2010 4:00,48787.26406,48787.26406,48787.26406,48787.26406,48787.26406,48787.26406
17/08/2010 5:00,49155.67078,49155.67078,49155.67078,49155.67078,49155.67078,49155.67078
17/08/2010 6:00,49748.56314,49748.56314,49748.56314,49748.56314,49748.56314,49748.56314
17/08/2010 7:00,51958.41688,51958.41688,51958.41688,51958.41688,51958.41688,51958.41688
17/08/2010 8:00,53657.3116,53657.3116,53657.3116,53657.3116,53657.3116,53657.3116
17/08/2010 9:00,55150.10192,55150.10192,55150.10192,55150.10192,55150.10192,55150.10192
17/08/2010 10:00,55442.24611,55442.24611,55442.24611,55442.24611,55442.24611,55442.24611
